index,index_old,category,category_v2,command_kor,command_eng,ir_gt,connected_devices,notes
21,25.0,4.0,C07,창고 온도가 25도 이상이 되면 창고 에어컨을 켜줘.,"When the temperature in the pantry reaches 25 degrees or higher, turn on the pantry air conditioner.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""TemperatureSensor.Temperature >= 25"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Switch.On"", ""args"": {}}]}","{""Pantry_TemperatureSensor"": {""category"": [""TemperatureSensor""], ""tags"": [""Pantry"", ""TemperatureSensor""]}, ""WineCellar_TemperatureSensor"": {""category"": [""TemperatureSensor""], ""tags"": [""WineCellar"", ""TemperatureSensor""]}, ""Pantry_AirConditioner"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""Pantry"", ""AirConditioner"", ""Switch""]}, ""LivingRoom_AirConditioner"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""LivingRoom"", ""AirConditioner"", ""Switch""]}}",ok
22,26.0,4.0,C07,욕실 습도가 70%보다 높아지면 욕실 제습기를 동결 방지 모드로 설정해줘.,"When the bathroom humidity exceeds 70%, set the bathroom dehumidifier to freeze protection mode.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""HumiditySensor.Humidity > 70"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Dehumidifier.SetDehumidifierMode"", ""args"": {""Mode"": ""freezeProtection""}}]}","{""Bathroom_HumiditySensor"": {""category"": [""HumiditySensor""], ""tags"": [""Bathroom"", ""HumiditySensor""]}, ""Basement_HumiditySensor"": {""category"": [""HumiditySensor""], ""tags"": [""Basement"", ""HumiditySensor""]}, ""Bathroom_Dehumidifier"": {""category"": [""Dehumidifier""], ""tags"": [""Bathroom"", ""Dehumidifier""]}, ""Bedroom_Dehumidifier"": {""category"": [""Dehumidifier""], ""tags"": [""Bedroom"", ""Dehumidifier""]}}",Original distractor for HumiditySensor had wrong category; fixed.
23,27.0,4.0,C07,사무실 버튼이 눌리면 사무실 가습기를 모두 켜줘.,"When the office button is pushed, turn on all humidifiers in office.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Button.Button == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Switch.On"", ""args"": {}}]}","{""Office_Button"": {""category"": [""Button""], ""tags"": [""Office"", ""Button""]}, ""Lobby_Button"": {""category"": [""Button""], ""tags"": [""Lobby"", ""Button""]}, ""Office_Humidifier_1"": {""category"": [""Humidifier"", ""Switch""], ""tags"": [""Office"", ""Humidifier"", ""Switch""]}, ""Office_Humidifier_2"": {""category"": [""Humidifier"", ""Switch""], ""tags"": [""Office"", ""Humidifier"", ""Switch""]}, ""Bedroom_Humidifier"": {""category"": [""Humidifier"", ""Switch""], ""tags"": [""Bedroom"", ""Humidifier"", ""Switch""]}}",all(#Office #Humidifier) requires 2+ matching devices; added Office_Humidifier_2.
24,28.0,4.0,C07,복도에 재실 센서가 하나라도 감지되면 모든 복도 조명을 보라색으로 설정해줘.,"When any presence sensor in the hallway detects presence, set all hallway lights to purple.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""cycle"", ""until"": null, ""period"": ""100 MSEC"", ""body"": [{""op"": ""wait"", ""cond"": ""PresenceSensor.Presence == true"", ""edge"": ""rising""}, {""op"": ""call"", ""target"": ""ColorControl.SetColor"", ""args"": {""Color"": ""purple""}}]}]}","{""Hallway_PresenceSensor_1"": {""category"": [""PresenceSensor""], ""tags"": [""Hallway"", ""PresenceSensor""]}, ""Hallway_PresenceSensor_2"": {""category"": [""PresenceSensor""], ""tags"": [""Hallway"", ""PresenceSensor""]}, ""Porch_PresenceSensor"": {""category"": [""PresenceSensor""], ""tags"": [""Porch"", ""PresenceSensor""]}, ""Hallway_Light_1"": {""category"": [""Light"", ""Switch"", ""ColorControl"", ""LevelControl""], ""tags"": [""Hallway"", ""Light"", ""ColorControl""]}, ""Hallway_Light_2"": {""category"": [""Light"", ""Switch"", ""ColorControl"", ""LevelControl""], ""tags"": [""Hallway"", ""Light"", ""ColorControl""]}, ""LivingRoom_Light"": {""category"": [""Light"", ""Switch"", ""ColorControl"", ""LevelControl""], ""tags"": [""LivingRoom"", ""Light"", ""ColorControl""]}}","colorControl_setColor(""128|0|128"") migrated to light_moveToColor(0.27, 0.13, 0.0) (purple CIE xy). Both all() selectors require 2+ matching devices each."
25,29.0,4.0,C07,서버실 이산화탄소 농도가 5000 ppm 이상이되면 모든 사이렌을 비상모드로 울려줘.,"When the carbon dioxide level in the server room becomes 5000 ppm or above, sound all sirens in emergency mode.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""AirQualitySensor.CarbonDioxide >= 5000"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}]}","{""ServerRoom_AirQualitySensor"": {""category"": [""AirQualitySensor""], ""tags"": [""ServerRoom"", ""AirQualitySensor""]}, ""Office_AirQualitySensor"": {""category"": [""AirQualitySensor""], ""tags"": [""Office"", ""AirQualitySensor""]}, ""Siren_Main"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Main"", ""Siren""]}, ""Siren_Back"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Back"", ""Siren""]}}",ok
26,30.0,4.0,C07,안방 쉐이드 버튼이 눌리면 쉐이드를 내려줘.,"When the bedroom shade button is pushed, lower the shade.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Button.Button == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""WindowCovering.DownOrClose"", ""args"": {}}]}","{""Bedroom_Shade_Button"": {""category"": [""Button""], ""tags"": [""Bedroom"", ""Shade"", ""Button""]}, ""Bedroom_Blind_Button"": {""category"": [""Button""], ""tags"": [""Bedroom"", ""Blind"", ""Button""]}, ""Bedroom_Shade"": {""category"": [""WindowCovering""], ""tags"": [""Bedroom"", ""Shade"", ""WindowCovering""]}, ""LivingRoom_Shade"": {""category"": [""WindowCovering""], ""tags"": [""LivingRoom"", ""Shade"", ""WindowCovering""]}}",ok
1,1.0,5.0,C09,TV 채널을 7번으로 바꾸고 1시간 뒤에 11번으로 바꿔줘.,Switch the TV to channel 7 and switch to channel 11 after 1 hour.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Television.SetChannel"", ""args"": {""Channel"": 7}}, {""op"": ""delay"", ""duration"": ""1 HOUR""}, {""op"": ""call"", ""target"": ""Television.SetChannel"", ""args"": {""Channel"": 11}}]}","{""LivingRoom_Television"": {""category"": [""Television""], ""tags"": [""LivingRoom"", ""Television""]}, ""Bedroom_Television"": {""category"": [""Television""], ""tags"": [""Bedroom"", ""Television""]}}",ok
2,2.0,5.0,C09,에어컨을 냉방 모드로 설정하고 30분 뒤에 자동 모드로 설정해줘.,Set the air conditioner to cool mode and switch to auto mode after 30 minutes.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""AirConditioner.SetAirConditionerMode"", ""args"": {""Mode"": ""cool""}}, {""op"": ""delay"", ""duration"": ""30 MIN""}, {""op"": ""call"", ""target"": ""AirConditioner.SetAirConditionerMode"", ""args"": {""Mode"": ""cool""}}]}","{""LivingRoom_AirConditioner"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""LivingRoom"", ""AirConditioner""]}, ""Bedroom_AirConditioner"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""Bedroom"", ""AirConditioner""]}}",ok
3,3.0,5.0,C09,공기청정기를 자동 모드로 설정하고 2시간 뒤에 수면 모드로 설정해줘.,Set the air purifier to auto mode and switch to sleep mode after 2 hours.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""AirPurifier.SetAirPurifierMode"", ""args"": {""Mode"": ""auto""}}, {""op"": ""delay"", ""duration"": ""2 HOUR""}, {""op"": ""call"", ""target"": ""AirPurifier.SetAirPurifierMode"", ""args"": {""Mode"": ""auto""}}]}","{""LivingRoom_AirPurifier"": {""category"": [""AirPurifier""], ""tags"": [""LivingRoom"", ""AirPurifier""]}, ""Bedroom_AirPurifier"": {""category"": [""AirPurifier""], ""tags"": [""Bedroom"", ""AirPurifier""]}}",ok
4,4.0,5.0,C09,에어컨 온도를 24도로 설정하고 1시간 뒤에 26도로 설정해줘.,Set the air conditioner temperature to 24 degrees and change it to 26 degrees after 1 hour.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""AirConditioner.SetTargetTemperature"", ""args"": {""Temperature"": 24.0}}, {""op"": ""delay"", ""duration"": ""1 HOUR""}, {""op"": ""call"", ""target"": ""AirConditioner.SetTargetTemperature"", ""args"": {""Temperature"": 24.0}}]}","{""LivingRoom_AirConditioner"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""LivingRoom"", ""AirConditioner""]}, ""Bedroom_AirConditioner"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""Bedroom"", ""AirConditioner""]}}",ok
5,5.0,5.0,C09,오븐 모드를 베이크로 설정하고 10분 뒤에 데우기 모드로 바꿔줘.,Set the oven mode to Bake and change it to warming mode after 10 minutes.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Oven.SetOvenMode"", ""args"": {""Mode"": ""Bake""}}, {""op"": ""delay"", ""duration"": ""10 MIN""}, {""op"": ""call"", ""target"": ""Oven.SetOvenMode"", ""args"": {""Mode"": ""warming""}}]}","{""Kitchen_Oven"": {""category"": [""Oven""], ""tags"": [""Kitchen"", ""Oven""]}, ""Basement_Oven"": {""category"": [""Oven""], ""tags"": [""Basement"", ""Oven""]}}",ok
1,6.0,5.0,C10,재실 센서에 감지가 되면 1분 뒤에 사진을 찍어줘.,"When the presence sensor detects someone, take a picture after 1 minute.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""PresenceSensor.Presence == true"", ""edge"": ""none""}, {""op"": ""delay"", ""duration"": ""1 MIN""}, {""op"": ""call"", ""target"": ""Camera.CaptureImage"", ""args"": {}}]}","{""Entrance_PresenceSensor"": {""category"": [""PresenceSensor""], ""tags"": [""Entrance"", ""PresenceSensor""]}, ""Hallway_PresenceSensor"": {""category"": [""PresenceSensor""], ""tags"": [""Hallway"", ""PresenceSensor""]}, ""Entrance_Camera"": {""category"": [""Camera""], ""tags"": [""Entrance"", ""Camera""]}, ""LivingRoom_Camera"": {""category"": [""Camera""], ""tags"": [""LivingRoom"", ""Camera""]}}",ok
2,7.0,5.0,C10,오븐이 가열 모드가 되면 3초 뒤에 전자레인지 모드로 바꿔줘.,"When the oven enters heating mode, switch it to microwave mode after 3 seconds.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Oven.OvenMode == \""heating\"""", ""edge"": ""none""}, {""op"": ""delay"", ""duration"": ""3 SEC""}, {""op"": ""call"", ""target"": ""Oven.SetOvenMode"", ""args"": {""Mode"": ""Microwave""}}]}","{""Kitchen_Oven"": {""category"": [""Oven""], ""tags"": [""Kitchen"", ""Oven""]}, ""Basement_Oven"": {""category"": [""Oven""], ""tags"": [""Basement"", ""Oven""]}}",ok
3,8.0,5.0,C10,"습도가 30%보다 낮아지면 3초 뒤에 스피커로 ""습도가 낮습니다""를 출력해.","When the humidity falls below 30%, output ""Humidity is low"" through the speaker after 3 seconds.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""HumiditySensor.Humidity < 30"", ""edge"": ""none""}, {""op"": ""delay"", ""duration"": ""3 SEC""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""Humidity is low""}}]}","{""LivingRoom_HumiditySensor"": {""category"": [""HumiditySensor""], ""tags"": [""LivingRoom"", ""HumiditySensor""]}, ""Bedroom_HumiditySensor"": {""category"": [""HumiditySensor""], ""tags"": [""Bedroom"", ""HumiditySensor""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
4,9.0,5.0,C10,비가 오면 문을 닫고 1시간 뒤에 체크해서 비가 안오면 문을 다시 열어줘.,"When it rains, close the door and check again after 1 hour; if it's not raining then, open the door again.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""RainSensor.Rain == true"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Door.Close"", ""args"": {}}, {""op"": ""delay"", ""duration"": ""1 HOUR""}, {""op"": ""if"", ""cond"": ""RainSensor.Rain == true"", ""then"": [{""op"": ""call"", ""target"": ""Door.Open"", ""args"": {}}], ""else"": []}]}","{""Garden_RainSensor"": {""category"": [""RainSensor""], ""tags"": [""Garden"", ""RainSensor""]}, ""Roof_RainSensor"": {""category"": [""RainSensor""], ""tags"": [""Roof"", ""RainSensor""]}, ""Front_Door"": {""category"": [""Door""], ""tags"": [""Front"", ""Door""]}, ""Back_Door"": {""category"": [""Door""], ""tags"": [""Back"", ""Door""]}, ""Home_WeatherProvider"": {""category"": [""WeatherProvider""], ""tags"": [""WeatherProvider""]}}",WeatherProvider is virtual; tagged with WeatherProvider only.
6,10.0,5.0,C09,외부 미세먼지 농도가 2000 이상이면 문을 닫고 4시간 뒤에 밸브를 잠궈줘.,"If the dust level concentration is 2000ppm or above, close the door and close the valve after 4 hours.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""if"", ""cond"": ""WeatherProvider.Pm25Weather >= 2000"", ""then"": [{""op"": ""call"", ""target"": ""Door.Close"", ""args"": {}}, {""op"": ""delay"", ""duration"": ""4 HOUR""}, {""op"": ""call"", ""target"": ""Valve.Close"", ""args"": {}}], ""else"": []}]}","{""Home_WeatherProvider"": {""category"": [""WeatherProvider""], ""tags"": [""WeatherProvider""]}, ""Front_Door"": {""category"": [""Door""], ""tags"": [""Front"", ""Door""]}, ""Back_Door"": {""category"": [""Door""], ""tags"": [""Back"", ""Door""]}, ""Kitchen_Valve"": {""category"": [""Valve""], ""tags"": [""Kitchen"", ""Valve""]}, ""Basement_Valve"": {""category"": [""Valve""], ""tags"": [""Basement"", ""Valve""]}}",ok
7,11.0,5.0,C09,사이렌을 응급 모드로 울리고 5초 뒤에 사이렌 모드를 화재 모드로 바꿔줘.,Sound the siren in emergency mode and change it to fire mode after 5 seconds.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}, {""op"": ""delay"", ""duration"": ""5 SEC""}, {""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}]}","{""Main_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Main"", ""Siren""]}, ""Back_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Back"", ""Siren""]}}",ok
16,12.0,4.0,C08,멀티버튼의 버튼3이 눌리면 회의실 조명을 파란색으로 변경해줘.,"When button 3 of the multi-button is pressed, change all meeting room lights to blue.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""MultiButton.Button3 == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Light.MoveToColor"", ""args"": {""ColorX"": 0.167, ""ColorY"": 0.04, ""TransitionTime"": 0.0}}]}","{""MR_MB"": {""category"": [""MultiButton""], ""tags"": [""MeetingRoom"", ""MultiButton""]}, ""LR_MB"": {""category"": [""MultiButton""], ""tags"": [""LivingRoom"", ""MultiButton""]}, ""MR_Light_1"": {""category"": [""Light""], ""tags"": [""MeetingRoom"", ""Light""]}, ""MR_Light_2"": {""category"": [""Light""], ""tags"": [""MeetingRoom"", ""Light""]}, ""LR_Light"": {""category"": [""Light""], ""tags"": [""LivingRoom"", ""Light""]}}",multibutton_light
8,13.0,5.0,C09,로봇 청소기를 자동 모드로 시작하고 30분 뒤에 수동 모드로 바꿔줘.,Start the robot vacuum cleaner in auto mode and switch to manual mode after 30 minutes.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""RobotVacuumCleaner.SetRobotVacuumCleanerCleaningMode"", ""args"": {""Mode"": ""auto""}}, {""op"": ""delay"", ""duration"": ""30 MIN""}, {""op"": ""call"", ""target"": ""RobotVacuumCleaner.SetRobotVacuumCleanerCleaningMode"", ""args"": {""Mode"": ""manual""}}]}","{""LivingRoom_RobotVacuumCleaner"": {""category"": [""RobotVacuumCleaner""], ""tags"": [""LivingRoom"", ""RobotVacuumCleaner""]}, ""Kitchen_RobotVacuumCleaner"": {""category"": [""RobotVacuumCleaner""], ""tags"": [""Kitchen"", ""RobotVacuumCleaner""]}}",setRobotVacuumCleanerModeMode renamed to setRobotVacuumCleanerCleaningMode per 2.0.4 catalog.
9,14.0,5.0,C09,스피커 볼륨을 20으로 설정하고 10분 뒤에 40으로 높여줘.,Set the speaker volume to 20 and increase it to 40 after 10 minutes.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Speaker.SetVolume"", ""args"": {""Volume"": 20}}, {""op"": ""delay"", ""duration"": ""10 MIN""}, {""op"": ""call"", ""target"": ""Speaker.SetVolume"", ""args"": {""Volume"": 20}}]}","{""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Bedroom_Speaker"": {""category"": [""Speaker""], ""tags"": [""Bedroom"", ""Speaker""]}}",ok
10,15.0,5.0,C09,제습기를 건조 모드로 작동시키고 1시간 뒤에 리프레쉬 모드로 바꿔줘.,Start the dehumidifier in drying mode and change to refreshing mode after 1 hour.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Dehumidifier.SetDehumidifierMode"", ""args"": {""Mode"": ""drying""}}, {""op"": ""delay"", ""duration"": ""1 HOUR""}, {""op"": ""call"", ""target"": ""Dehumidifier.SetDehumidifierMode"", ""args"": {""Mode"": ""refreshing""}}]}","{""LivingRoom_Dehumidifier"": {""category"": [""Dehumidifier""], ""tags"": [""LivingRoom"", ""Dehumidifier""]}, ""Bedroom_Dehumidifier"": {""category"": [""Dehumidifier""], ""tags"": [""Bedroom"", ""Dehumidifier""]}}",ok
17,16.0,4.0,C08,멀티버튼의 버튼4가 눌리면 모든 조명을 야간 모드(밝기 10%)로 설정해줘.,"When button 4 of the multi-button is pressed, set all lights to night mode at 10% brightness.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""MultiButton.Button4 == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Light.MoveToColor"", ""args"": {""ColorX"": 0.675, ""ColorY"": 0.322, ""TransitionTime"": 0.0}}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 10.0}}]}","{""Main_MB"": {""category"": [""MultiButton""], ""tags"": [""LivingRoom"", ""MultiButton""]}, ""Hall_MB"": {""category"": [""MultiButton""], ""tags"": [""Hallway"", ""MultiButton""]}, ""LR_Light"": {""category"": [""Light""], ""tags"": [""LivingRoom"", ""Light""]}, ""Hall_Light"": {""category"": [""Light""], ""tags"": [""Hallway"", ""Light""]}, ""Bedroom_Light"": {""category"": [""Light""], ""tags"": [""Bedroom"", ""Light""]}}",multibutton_light
5,17.0,5.0,C10,집안의 재실 센서가 하나라도 감지되면 10초 뒤에 모든 긴급 사이렌을 울려줘.,"When any presence sensor in the house detects presence, sound all emergency sirens after 10 seconds.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""PresenceSensor.Presence == true"", ""edge"": ""none""}, {""op"": ""delay"", ""duration"": ""10 SEC""}, {""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}]}","{""House_Presence_1"": {""category"": [""PresenceSensor""], ""tags"": [""House"", ""PresenceSensor""]}, ""House_Presence_2"": {""category"": [""PresenceSensor""], ""tags"": [""House"", ""PresenceSensor""]}, ""Garage_Presence"": {""category"": [""PresenceSensor""], ""tags"": [""Garage"", ""PresenceSensor""]}, ""Main_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""House"", ""Siren"", ""Switch""]}, ""Sub_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""House"", ""Siren"", ""Switch""]}, ""Garden_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Garden"", ""Siren"", ""Switch""]}}",all(#Siren) needs 2+ Siren devices. all(#House #PresenceSensor) needs 2+ matching.
11,18.0,5.0,C09,주방의 모든 벨브를 열고 5분 뒤에 다시 잠궈줘.,Open all valves in the kitchen and close them again after 5 minutes.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Valve.Open"", ""args"": {}}, {""op"": ""delay"", ""duration"": ""5 MIN""}, {""op"": ""call"", ""target"": ""Valve.Close"", ""args"": {}}]}","{""Kitchen_Valve_Gas"": {""category"": [""Valve""], ""tags"": [""Kitchen"", ""Valve""]}, ""Kitchen_Valve_Water"": {""category"": [""Valve""], ""tags"": [""Kitchen"", ""Valve""]}, ""Garden_Valve"": {""category"": [""Valve""], ""tags"": [""Garden"", ""Valve""]}}",ok
12,19.0,5.0,C09,안방의 모든 블라인드를 닫고 2시간 뒤에 다시 열어줘.,Close all blinds in the bedroom and open them again after 2 hours.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""WindowCovering.DownOrClose"", ""args"": {}}, {""op"": ""delay"", ""duration"": ""2 HOUR""}, {""op"": ""call"", ""target"": ""WindowCovering.UpOrOpen"", ""args"": {}}]}","{""Bedroom_Blind_1"": {""category"": [""WindowCovering""], ""tags"": [""Bedroom"", ""Blind"", ""WindowCovering""]}, ""Bedroom_Blind_2"": {""category"": [""WindowCovering""], ""tags"": [""Bedroom"", ""Blind"", ""WindowCovering""]}, ""LivingRoom_Blind"": {""category"": [""WindowCovering""], ""tags"": [""LivingRoom"", ""Blind"", ""WindowCovering""]}}",ok
6,20.0,5.0,C10,복도의 조명이 하나라도 켜지면 5분 뒤에 거실의 모든 조명을 꺼줘.,"When any light in the hallway is turned on, turn off all lights in the living room after 5 minutes.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""cycle"", ""until"": null, ""period"": ""100 MSEC"", ""body"": [{""op"": ""wait"", ""cond"": ""Light.CurrentBrightness > 0"", ""edge"": ""rising"", ""for"": ""5 MIN""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 0.0, ""Rate"": 0.0}}]}]}","{""Hallway_Light_1"": {""category"": [""Light"", ""Switch""], ""tags"": [""Hallway"", ""Light"", ""Switch""]}, ""Hallway_Light_2"": {""category"": [""Light"", ""Switch""], ""tags"": [""Hallway"", ""Light"", ""Switch""]}, ""LivingRoom_Light_1"": {""category"": [""Light"", ""Switch""], ""tags"": [""LivingRoom"", ""Light"", ""Switch""]}, ""LivingRoom_Light_2"": {""category"": [""Light"", ""Switch""], ""tags"": [""LivingRoom"", ""Light"", ""Switch""]}, ""Kitchen_Light"": {""category"": [""Light"", ""Switch""], ""tags"": [""Kitchen"", ""Light"", ""Switch""]}}",Added Hallway_Light_2 so all(#Hallway #Light) has 2+ matching. Kitchen_Light is distractor for all(#LivingRoom #Light).
13,21.0,5.0,C09,연구실의 모든 제습기를 켜고 4시간 뒤에 꺼줘.,Turn on all dehumidifiers in the lab and turn them off after 4 hours.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Switch.On"", ""args"": {}}, {""op"": ""delay"", ""duration"": ""4 HOUR""}, {""op"": ""call"", ""target"": ""Switch.Off"", ""args"": {}}]}","{""Lab_Dehumidifier_1"": {""category"": [""Dehumidifier"", ""Switch""], ""tags"": [""Lab"", ""Dehumidifier"", ""Switch""]}, ""Lab_Dehumidifier_2"": {""category"": [""Dehumidifier"", ""Switch""], ""tags"": [""Lab"", ""Dehumidifier"", ""Switch""]}, ""Office_Dehumidifier"": {""category"": [""Dehumidifier"", ""Switch""], ""tags"": [""Office"", ""Dehumidifier"", ""Switch""]}}",ok
7,22.0,5.0,C10,사무실의 공기청정기가 하나라도 수면모드로 바뀌면 10분 뒤에 조명을 꺼줘.,"When any air purifier in the office switches to sleep mode, turn off the light after 10 minutes.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""AirPurifier.SetAirPurifierMode == \""sleep\"""", ""edge"": ""none""}, {""op"": ""delay"", ""duration"": ""10 MIN""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 0.0}}]}","{""Office_AP_1"": {""category"": [""AirPurifier""], ""tags"": [""Office"", ""AirPurifier""]}, ""Office_AP_2"": {""category"": [""AirPurifier""], ""tags"": [""Office"", ""AirPurifier""]}, ""Bedroom_AP"": {""category"": [""AirPurifier""], ""tags"": [""Bedroom"", ""AirPurifier""]}, ""Office_Light"": {""category"": [""Light"", ""Switch""], ""tags"": [""Office"", ""Light"", ""Switch""]}, ""LivingRoom_Light"": {""category"": [""Light"", ""Switch""], ""tags"": [""LivingRoom"", ""Light"", ""Switch""]}}",ok
14,23.0,5.0,C09,창고의 모든 도어락을 잠그고 1분 뒤에 긴급 사이렌을 울려줘.,Lock all warehouse door locks and sound the emergency siren 1 minute later.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""DoorLock.Lock"", ""args"": {}}, {""op"": ""delay"", ""duration"": ""1 MIN""}, {""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}]}","{""Warehouse_Lock_1"": {""category"": [""DoorLock""], ""tags"": [""Warehouse"", ""DoorLock""]}, ""Warehouse_Lock_2"": {""category"": [""DoorLock""], ""tags"": [""Warehouse"", ""DoorLock""]}, ""Office_Lock"": {""category"": [""DoorLock""], ""tags"": [""Office"", ""DoorLock""]}, ""Warehouse_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Warehouse"", ""Siren"", ""Switch""]}, ""Garden_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Garden"", ""Siren"", ""Switch""]}}",ok
