id,space_id,command,command_ko,context,expect,why_type,why,category
233,OFFICE05,could you shut out the light from outside around sundown?,해질 무렵 밖에서 들어오는 빛 좀 막아줄 수 있어?,,execute,,,자동화 만들기
234,OFFICE02,"Around sundown, lower the open space blinds to 70 percent",해질 무렵 사무실 블라인드 70퍼센트까지 내려.,,execute,,,자동화 만들기
235,OFFICE01,can you open the open space blinds at sunrise?,해 뜰 때 사무실 블라인드 열어줄래?,,execute,,,자동화 만들기
236,OFFICE02,I'd like you to block the sun when the sun comes up.,해가 뜨면 햇빛 좀 막아줘.,,execute,,,자동화 만들기
237,OFFICE01,Open the open space blinds when the sun comes up,해가 뜨면 사무실 블라인드 열어.,,execute,,,자동화 만들기
238,OFFICE02,can you close the open space blinds once it gets dark outside?,바깥이 어두워지면 사무실 블라인드 닫아줄래?,,execute,,,자동화 만들기
239,OFFICE05,could you pull the open space blinds shut at sunrise?,해 뜰 때 사무실 블라인드 닫아줄 수 있어?,,execute,,,자동화 만들기
240,OFFICE01,Keep me posted if my calendar says I am busy,일정이 잡혀 있으면 계속 알려줘.,,execute,,,자동화 만들기
241,OFFICE03,could you announce it when a meeting is about to start?,회의가 곧 시작되면 방송해줄래?,,execute,,,자동화 만들기
242,OFFICE06,please send me a notification when today's first event begins.,오늘 첫 일정이 시작되면 알림 좀 보내줘.,,execute,,,자동화 만들기
243,OFFICE01,can you push me an alert if my calendar says I am busy?,일정이 잡혀 있으면 알림 띄워줄래?,,execute,,,자동화 만들기
244,OFFICE06,can you tell me about it if my calendar says I am busy?,일정이 잡혀 있으면 알려줄래?,,execute,,,자동화 만들기
245,OFFICE05,"If my calendar says I am busy, send me a notification.",일정이 잡혀 있으면 알림 보내줘.,,execute,,,자동화 만들기
246,OFFICE02,I'd like you to let me know when today's first event begins.,오늘 첫 일정이 시작되면 알려줘.,,execute,,,자동화 만들기
247,OFFICE04,Send me a notification at the start of my next event,다음 일정이 시작되면 알림 보내줘.,,execute,,,자동화 만들기
248,OFFICE06,Give me a heads-up when today's first event begins.,오늘 첫 일정이 시작되면 꼭 알려줘.,,execute,,,자동화 만들기
249,OFFICE01,can you let me know if my calendar says I am busy?,일정이 잡혀 있으면 알려줄래?,,execute,,,자동화 만들기
250,OFFICE03,Keep me posted when a meeting is about to start.,회의가 곧 시작되면 계속 알려줘.,,execute,,,자동화 만들기
251,OFFICE05,"If my calendar says I am busy, give me a heads-up",일정이 잡혀 있으면 꼭 알려줘.,,execute,,,자동화 만들기
252,OFFICE02,I'd like you to send me a notification when today's first event begins.,오늘 첫 일정이 시작되면 알림 보내줘.,,execute,,,자동화 만들기
253,OFFICE04,I'd like you to make all the lights green at sunrise.,해 뜰 때 모든 조명 초록색으로 해줘.,,execute,,,자동화 만들기
254,OFFICE01,can you set all the lights to daylight white at sunrise?,해 뜰 때 모든 조명 주광색으로 바꿔줄래?,,execute,,,자동화 만들기
255,OFFICE05,can you change all the lights to pink at sunrise?,해 뜰 때 모든 조명 분홍색으로 바꿔줄래?,,execute,,,자동화 만들기
256,OFFICE04,I'd like you to tell me about it when the temperature goes above 24 degrees.,온도가 24도를 넘으면 알려줘.,,execute,,,자동화 만들기
257,OFFICE06,I'd like you to send me a notification when the temperature goes above 26 degrees.,온도가 26도를 넘으면 알림 보내줘.,,execute,,,자동화 만들기
258,OFFICE02,please let me know if the temperature drops below 18 degrees.,온도가 18도 아래로 떨어지면 좀 알려줘.,,execute,,,자동화 만들기
259,OFFICE01,could you put the thermostat on 24 degrees if the temperature drops below 18 degrees?,온도가 18도 아래로 떨어지면 온도조절기 24도로 해줄래?,,execute,,,자동화 만들기
260,OFFICE01,could you put the thermostat on 22 degrees if the temperature drops below 18 degrees?,온도가 18도 아래로 떨어지면 온도조절기 22도로 해줄 수 있어?,,execute,,,자동화 만들기
261,OFFICE01,could you turn on the camera if motion is detected in the pantry?,팬트리에서 움직임이 감지되면 카메라 켜줘.,,refuse,기기없음,카메라 없음,자동화 만들기
262,OFFICE06,I'd like you to take a snapshot with the camera if motion is detected in the open space.,사무실에서 움직임이 감지되면 카메라로 사진 찍어줘.,,ask,확인필요,촬영이라 확인 필요,자동화 만들기
263,OFFICE06,Take a snapshot with the open space camera the moment something moves in the open space,사무실에서 뭔가 움직이는 순간 사무실 카메라로 사진 찍어.,,ask,확인필요,촬영이라 확인 필요,기기 제어
264,OFFICE06,I'd like you to turn the lights warm white every morning at 7 am.,매일 오전 7시에 조명 전부 전구색으로 켜줘.,,execute,,,자동화 만들기
265,OFFICE03,can you change the lights to red at midnight on weekdays?,평일 자정에 조명 전부 빨간색으로 바꿔줄래?,,execute,,,자동화 만들기
266,OFFICE04,please turn the lights purple every day at 9 am.,매일 오전 9시에 조명 전부 보라색으로 좀 켜줘.,,execute,,,자동화 만들기
267,OFFICE01,can you set a calmer tone when the open space door opens?,사무실 문이 열리면 차분한 톤으로 맞춰줄래?,,execute,,,자동화 만들기
268,OFFICE06,could you set a calmer tone if a window is left open?,창문이 열린 채로 있으면 차분한 톤으로 맞춰줄래?,,refuse,기기없음,창문 기기가 없음 (블라인드만 있음),자동화 만들기
269,OFFICE01,Push me an alert when the open space door opens.,사무실 문이 열리면 알림 띄워줘.,,execute,,,자동화 만들기
270,OFFICE06,please brighten this place up every day at 6 am.,매일 오전 6시에 여기 좀 밝게 해줘.,,ask,위치애매,어느 공간인지 애매,자동화 만들기
271,OFFICE03,"At 6:30 am, put all the lights on",오전 6시 30분에 모든 조명 켜.,,execute,,,자동화 만들기
272,OFFICE04,could you start recording on the camera every night at 11:30 pm?,매일 밤 11시 30분에 카메라 녹화 시작해줄 수 있어?,,refuse,기기없음,카메라 없음,자동화 만들기
273,OFFICE01,Stop recording on the camera on Saturday at 10:30 pm,토요일 밤 10시 30분에 카메라 녹화 멈춰.,,refuse,기기없음,카메라 없음,자동화 만들기
274,OFFICE05,can you turn on the camera at midnight on weekdays?,평일 자정에 카메라 켜줄래?,,ask,확인필요,카메라를 켜는 건 감시라 확인 필요,자동화 만들기
275,OFFICE01,could you light up the pantry lights when I am close by?,내가 근처에 오면 팬트리 조명 켜줄 수 있어?,,execute,,,자동화 만들기
276,OFFICE02,please turn on the row 1 light when I arrive.,내가 도착하면 1열 조명 켜주세요.,,execute,,,자동화 만들기
277,OFFICE01,"When the temperature goes above 24 degrees, tone it down a bit.",온도가 24도를 넘으면 좀 낮춰줘.,,execute,,,자동화 만들기
278,OFFICE03,Send the robot vacuum back to its dock on Sunday at 6:30 am,일요일 오전 6시 30분에 로봇청소기 충전기로 보내.,,refuse,기기없음,로봇청소기 없음,자동화 만들기
279,OFFICE01,Keep me posted when I am close by.,내가 근처에 오면 계속 알려줘.,,execute,,,자동화 만들기
280,OFFICE05,can you play a chime on the speaker once the utility is empty?,전기실이 비면 스피커로 알림음 울려줄래?,,refuse,감지불가,전기실에 사람 감지 센서 없음,자동화 만들기
281,OFFICE05,I'd like you to announce it on the speaker when someone shows up in the entrance.,현관에 누가 나타나면 스피커로 알려줘.,,execute,,,자동화 만들기
282,OFFICE01,"Once the pantry is empty, announce it on the open space speaker",팬트리가 비면 사무실 스피커로 알려.,,refuse,감지불가,팬트리에 사람 감지 센서 없음,자동화 만들기
283,OFFICE02,can you unlock the door after work hours?,퇴근 시간 지나면 도어락 열어줄래?,,refuse,위험,퇴근 후에 문을 여는 건 위험,자동화 만들기
284,OFFICE05,I'd like you to lock the entrance door lock when the computer at my desk shuts down.,내 자리 컴퓨터가 꺼지면 현관 도어락 잠가줘.,,refuse,감지불가,컴퓨터가 꺼졌는지 알 방법이 없음,자동화 만들기
285,OFFICE02,can you make sure the entrance door lock is locked when I connect to the office wi-fi?,내가 사무실 와이파이에 접속하면 현관 도어락 잠겼는지 봐줄래?,,refuse,감지불가,와이파이 접속 정보를 받을 수 없음,자동화 만들기
286,OFFICE04,can you toggle the switch when I am close by?,내가 근처에 오면 스위치 껐다 켜줄래?,,refuse,감지불가,내가 도착했는지 알 방법이 없음,자동화 만들기
287,OFFICE02,Switch the switch on when I arrive,내가 도착하면 스위치 켜.,,ask,위치애매,어느 스위치인지 애매,자동화 만들기
288,OFFICE06,I'd like you to toggle the switch as soon as I arrive.,내가 도착하자마자 스위치 껐다 켜줘.,,ask,위치애매,어느 스위치인지 애매,자동화 만들기
289,OFFICE02,could you light up the light when the meeting room is occupied?,회의실에 사람이 있으면 조명 켜줄래?,,execute,,,자동화 만들기
290,OFFICE05,can you put all the lights on when someone shows up in the entrance?,현관에 누가 나타나면 모든 조명 켜줄래?,,execute,,,자동화 만들기
291,OFFICE02,Stop the vacuum on Monday at midnight,월요일 자정에 로봇청소기 멈춰.,,refuse,기기없음,로봇청소기 없음,자동화 만들기
292,OFFICE05,please turn off the open space switch when the button is pressed.,버튼이 눌리면 사무실 스위치 꺼주세요.,,execute,,,자동화 만들기
293,OFFICE01,"When it starts raining, get the lights on.",비가 오기 시작하면 조명 전부 켜.,,execute,,,자동화 만들기
294,OFFICE03,could you switch the lights on when snow is expected?,눈이 올 것 같으면 조명 전부 켜줘.,,execute,,,자동화 만들기
295,OFFICE06,I'd like you to make it cozy when I arrive.,내가 도착하면 포근하게 해줘.,,execute,,,자동화 만들기
296,OFFICE01,"As soon as I arrive, set the open space thermostat to 21 degrees",내가 도착하자마자 사무실 온도조절기 21도로 맞춰.,,execute,,,자동화 만들기
297,OFFICE01,can you change the open space lights to warm white when it gets hot outside?,바깥이 더워지면 사무실 조명 전구색으로 바꿔줄래?,,execute,,,자동화 만들기
298,OFFICE03,"When it starts raining, change the meeting room lights to amber.",비가 오기 시작하면 회의실 조명 주황색으로 바꿔.,,ask,위치애매,회의실이 4곳이라 어느 곳인지 애매,자동화 만들기
299,OFFICE01,can you turn the fan off when I double-press the button?,버튼이 연속 두 번 눌리면 선풍기 꺼줄래?,,execute,,,자동화 만들기
300,OFFICE01,Block the sun coming into the office in the morning.,아침이 되면 사무실에 드는 햇빛 좀 막아줘.,,execute,,,자동화 만들기
301,OFFICE04,Kill the lights in here on Tuesday at midnight,화요일 자정에 여기 불 다 꺼줘.,,execute,,,자동화 만들기
302,OFFICE01,Turn the heating off if the forecast says frost,서리 예보가 있으면 난방 꺼.,,execute,,,자동화 만들기
303,OFFICE05,please let me know if the camera comes on.,카메라가 켜지면 알려주세요.,,execute,,,자동화 만들기
304,OFFICE06,Turn the heating off with a single press of the button,버튼을 한 번 누르면 난방 꺼.,,execute,,,자동화 만들기
305,OFFICE02,Run the reading scene on the lights when I arrive,내가 도착하면 조명 독서 모드 실행해.,,execute,,,자동화 만들기
306,OFFICE05,can you set the lights to the focus scene as soon as I arrive?,내가 도착하자마자 조명 집중 모드로 해줄래?,,execute,,,자동화 만들기
307,OFFICE05,could you announce it when I log in to the company messenger?,사내 메신저에 로그인하면 방송해줄래?,,refuse,감지불가,메신저 로그인 정보를 받을 수 없음,자동화 만들기
308,OFFICE04,please switch the switch on when the sun comes up.,해가 뜨면 스위치 켜주세요.,,ask,위치애매,어느 스위치인지 애매,자동화 만들기
309,OFFICE01,"At noon, turn on the switch.",정오에 스위치 켜.,,ask,위치애매,어느 스위치인지 애매,자동화 만들기
310,OFFICE03,"Every morning at 6:30 am, toggle all the switches.",매일 오전 6시 30분에 모든 스위치 껐다 켜.,,ask,확인필요,사무실 기기가 모두 잠깐 꺼지므로 확인 필요,자동화 만들기
311,OFFICE06,please stop recording on the office camera when motion is detected in the open space.,사무실에서 움직임이 감지되면 카메라 녹화 멈춰주세요.,,execute,,,자동화 만들기
312,OFFICE06,I'd like you to switch the lights on when the temperature goes above 24 degrees.,온도가 24도를 넘으면 조명 전부 켜줘.,,execute,,,자동화 만들기
313,OFFICE03,please light up the open space lights when the printer hits an error.,프린터에 오류가 나면 사무실 조명 좀 켜줘.,,execute,,,자동화 만들기
314,OFFICE05,can you let me see what is going on when I arrive?,내가 도착하면 지금 상황 좀 보여줄래?,,ask,동작애매,무엇을 보여줄지 애매,자동화 만들기
315,OFFICE05,could you shut the open space lights off at sunrise?,해 뜰 때 사무실 조명 꺼줘.,,execute,,,자동화 만들기
316,OFFICE06,Turn the heating off on Sunday at 6 pm,일요일 오후 6시에 난방 꺼.,,execute,,,자동화 만들기
317,OFFICE01,please unlock the entrance door lock when the door closes.,문이 닫히면 현관 도어락 열어주세요.,,refuse,위험,문이 닫히면 자동으로 여는 건 위험,자동화 만들기
318,OFFICE01,could you announce it at sunrise?,해 뜰 때 방송해줘.,,execute,,,자동화 만들기
319,OFFICE01,please turn the heating off when I am away.,내가 자리에 없으면 난방 좀 꺼줘.,,execute,,,자동화 만들기
320,OFFICE05,could you put the meeting room lights into away mode once it gets dark outside?,바깥이 어두워지면 회의실 조명 외출 모드로 해줄 수 있어?,,ask,위치애매,회의실이 1층·2층에 있어 어느 곳인지 애매,자동화 만들기
321,OFFICE01,could you shut the lights off with one tap on the wall switch?,벽 스위치를 한 번 누르면 조명 전부 꺼줘.,,execute,,,자동화 만들기
322,OFFICE03,"When the camera starts recording, make sure the place is secure",카메라가 녹화를 시작하면 문단속 좀 해줘.,,execute,,,자동화 만들기
323,OFFICE03,"When the temperature goes above 26 degrees, start recording on the conference camera 2",온도가 26도를 넘으면 화상회의 카메라 2 녹화 시작해.,,ask,확인필요,녹화라 확인 필요,자동화 만들기
324,OFFICE06,Turn the pantry coffee maker off when I double-press the button,버튼이 연속 두 번 눌리면 팬트리 커피머신 꺼.,,execute,,,자동화 만들기
325,OFFICE05,"When the smoke detector goes off, switch all the lights on.",연기 감지기가 울리면 모든 조명 켜.,,execute,,,자동화 만들기
326,OFFICE05,can you bring the open space lights down to 30 percent at 8 pm on weekdays?,평일 오후 8시에 사무실 조명 밝기 30퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
327,OFFICE03,please push me an alert once the meeting room is empty.,회의실이 비면 알림 띄워주세요.,,execute,,,자동화 만들기
328,OFFICE01,could you bring the meeting room lights down to 20 percent when I am close by?,내가 근처에 오면 회의실 조명 밝기 20퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
329,OFFICE03,can you turn on the conference camera 2 when it gets hot outside?,바깥이 더워지면 화상회의 카메라 2 켜줄래?,,ask,확인필요,카메라를 켜는 건 감시라 확인 필요,자동화 만들기
330,OFFICE03,can you toggle the switch when it gets hot outside?,바깥이 더워지면 스위치 껐다 켜줄래?,,ask,위치애매,어느 스위치인지 애매,자동화 만들기
331,OFFICE02,could you set the lights to warm white if the smoke alarm sounds?,화재 경보가 울리면 조명 전부 전구색으로 바꿔줄래?,,execute,,,자동화 만들기
332,OFFICE06,Make all the lights pink when a new email arrives,새 메일이 오면 모든 조명 분홍색으로 해.,,refuse,감지불가,메일을 확인할 기기가 없음,자동화 만들기
333,OFFICE06,Make it cozy once it gets dark outside,바깥이 어두워지면 포근하게 해줘.,,execute,,,자동화 만들기
334,OFFICE06,can you make sure the entrance door lock is locked at 11 pm on weekdays?,평일 밤 11시에 현관 도어락 잠겼는지 봐줄래?,,execute,,,자동화 만들기
335,OFFICE05,could you light up the hallway lights if the switch is switched off?,스위치가 꺼지면 복도 조명 켜줄 수 있어?,,execute,,,자동화 만들기
336,OFFICE05,Make sure all the door locks are locked when I am away.,내가 자리에 없으면 모든 도어락 잠겼는지 봐줘.,,execute,,,자동화 만들기
337,OFFICE01,I'd like you to set the fan to high when the sun comes up.,해가 뜨면 선풍기 세게 틀어줘.,,execute,,,자동화 만들기
338,OFFICE06,could you dim all the lights to 20 percent if motion is detected in the meeting room?,회의실에서 움직임이 감지되면 모든 조명 밝기를 20퍼센트로 낮춰줄 수 있어?,,refuse,감지불가,회의실에 움직임 감지 센서 없음,자동화 만들기
339,OFFICE05,Tell me the state of the open space switches when I leave.,내가 퇴근할 때 사무실 스위치 상태 알려줘.,,execute,,,자동화 만들기
340,OFFICE05,I'd like you to let me hear it when I arrive.,내가 도착하면 들려줘.,,ask,동작애매,무엇을 들려줄지 애매,자동화 만들기
341,OFFICE01,"After I head out, tone it down a bit",내가 퇴근한 뒤에 좀 낮춰줘.,,ask,동작애매,무엇을 낮출지 애매,자동화 만들기
342,OFFICE06,please turn the open space lights red when today's first event begins.,오늘 첫 일정이 시작되면 사무실 조명 빨간색으로 좀 켜줘.,,execute,,,자동화 만들기
343,OFFICE01,can you change the open space lights to daylight white if my calendar says I am busy?,일정이 잡혀 있으면 사무실 조명 주광색으로 바꿔줄래?,,execute,,,자동화 만들기
344,OFFICE01,Turn the heating off when the open space is occupied,사무실에 사람이 있으면 난방 꺼.,,execute,,,자동화 만들기
345,OFFICE03,could you start recording on the conference camera 1 when someone shows up in the meeting room?,회의실에 누가 나타나면 화상회의 카메라 1 녹화 시작해줘.,,ask,확인필요,녹화라 확인 필요,자동화 만들기
346,OFFICE02,How much power is the switch using when today's first event begins.,오늘 첫 일정이 시작되면 스위치가 전력을 얼마나 쓰고 있는지 알려줘.,,refuse,감지불가,스위치에 전력 측정 기능 없음,자동화 만들기
347,OFFICE02,I'd like you to start the pantry coffee maker when the temperature goes above 26 degrees.,온도가 26도를 넘으면 팬트리 커피머신 켜줘.,,execute,,,자동화 만들기
348,OFFICE04,could you brew a cup on the pantry coffee maker if the temperature drops below 18 degrees?,온도가 18도 아래로 떨어지면 팬트리 커피머신으로 한 잔 내려줘.,,execute,,,자동화 만들기
349,OFFICE06,could you turn off all the switches when the camera starts recording?,카메라가 녹화를 시작하면 모든 스위치 꺼줄래?,,execute,,,자동화 만들기
350,OFFICE05,"After work hours, turn the hallway camera on.",퇴근 시간이 지나면 복도 카메라 켜.,,ask,확인필요,카메라를 켜는 건 감시라 확인 필요,자동화 만들기
351,OFFICE06,please stop recording on the camera when today's first event begins.,오늘 첫 일정이 시작되면 카메라 녹화 멈춰주세요.,,execute,,,자동화 만들기
352,OFFICE05,"Around sundown, light up the open space lights, then 5 minutes later turn it back off.","해질 무렵 사무실 조명 켜주고, 5분 뒤에 다시 꺼.",,execute,,,자동화 만들기
353,OFFICE02,"When the temperature goes above 24 degrees, turn on the fan, then 15 minutes later turn it back off.","온도가 24도를 넘으면 선풍기 켜주고, 15분 뒤에 다시 꺼.",,refuse,기기없음,선풍기 없음,자동화 만들기
354,OFFICE01,please run the pantry fan for 10 minutes while the temperature stays over 26 degrees.,온도가 26도를 계속 넘고 있으면 팬트리 선풍기를 10분 동안 돌려주세요.,,execute,,,자동화 만들기
355,OFFICE04,"When the temperature goes above 32 degrees, get some air moving while the door is open, and stop once that changes.","온도가 32도를 넘으면 문이 열려 있는 동안 환기해주고, 문이 닫히면 멈춰.",,refuse,감지불가,문 열림을 감지할 센서 없음,자동화 만들기
356,OFFICE01,Set the pantry fan to high while the temperature stays over 26 degrees,온도가 26도를 계속 넘고 있으면 팬트리 선풍기 세게 틀어.,,execute,,,자동화 만들기
357,OFFICE04,Turn the row 3 light daylight white while the temperature stays over 28 degrees,온도가 28도를 계속 넘고 있으면 3열 조명 주광색으로 켜.,,execute,,,자동화 만들기
358,OFFICE04,"At sunrise, if nobody is around right now, raise the blinds.",해 뜰 때 아무도 없으면 블라인드 올려.,,refuse,기기없음,블라인드 없음,자동화 만들기
359,OFFICE05,"When the sun comes up, pull the open space blinds shut, but only if nobody is around",해가 뜨면 아무도 없을 때만 사무실 블라인드 닫아.,,execute,,,자동화 만들기
360,OFFICE04,"At the start of my next event, wait 30 minutes and then I want to know when it changes.",다음 일정이 시작되면 30분 기다렸다가 상태가 바뀌면 알려줘.,,ask,동작애매,무엇의 상태인지 애매,자동화 만들기
361,OFFICE03,can you push me an alert while the temperature stays over 30 degrees?,온도가 30도를 계속 넘고 있으면 알림 띄워줄래?,,execute,,,자동화 만들기
362,OFFICE06,Turn the heating off while the temperature stays over 26 degrees,온도가 26도를 계속 넘고 있으면 난방 꺼.,,execute,,,자동화 만들기
363,OFFICE06,Turn the heating off while the temperature stays over 32 degrees,온도가 32도를 계속 넘고 있으면 난방 꺼.,,execute,,,자동화 만들기
364,OFFICE04,Take a snapshot with the camera when nothing has moved for 45 minutes,45분 동안 아무 움직임도 없으면 카메라로 사진 찍어.,,refuse,기기없음,카메라 없음,자동화 만들기
365,OFFICE06,Stop recording on the open space camera when nothing has moved for 10 minutes,10분 동안 아무 움직임도 없으면 사무실 카메라 녹화 멈춰.,,execute,,,자동화 만들기
366,OFFICE03,"After waiting 60 minutes, set a 30 minute timer.",60분 기다렸다가 30분 타이머 맞춰줘.,,agent,,,타이머
367,OFFICE05,"After 20 minutes, set a 30 minute timer",20분 뒤에 30분 타이머 맞춰줘.,,agent,,,타이머
368,OFFICE02,Cancel the timer 15 minutes from now,지금부터 15분 뒤에 타이머 취소해줘.,,agent,,,타이머
369,OFFICE04,Cancel the timer once the 10 minute timer runs out,10분 타이머가 끝나면 타이머 취소해줘.,,agent,,,타이머
370,OFFICE06,Cancel the timer 45 minutes from now,지금부터 45분 뒤에 타이머 취소해줘.,,agent,,,타이머
371,OFFICE01,could you start a countdown for 15 minutes after 10 minutes?,10분 뒤에 15분 카운트다운 시작해줄 수 있어?,,agent,,,타이머
372,OFFICE03,"Once the door has been open for 30 minutes, change all the lights to blue",문이 30분 동안 열려 있으면 모든 조명 파란색으로 바꿔.,,execute,,,자동화 만들기
373,OFFICE04,Light up all the lights once the 20 minute timer runs out,20분 타이머가 끝나면 모든 조명 켜.,,execute,,,자동화 만들기
374,OFFICE01,could you light up all the lights after waiting 60 minutes?,60분 기다렸다가 모든 조명 켜줄 수 있어?,,execute,,,자동화 만들기
375,OFFICE05,I'd like you to run the fan for 3 minutes 15 minutes from now.,지금부터 15분 뒤에 선풍기를 3분 동안 돌려줘.,,refuse,기기없음,선풍기 없음,자동화 만들기
376,OFFICE05,could you get some air moving after 20 minutes?,20분 뒤에 환기해줄래?,,execute,,,자동화 만들기
377,OFFICE04,please run the pantry fan for 30 minutes 5 minutes from now.,지금부터 5분 뒤에 팬트리 선풍기를 30분 동안 돌려주세요.,,execute,,,자동화 만들기
378,OFFICE01,"45 minutes from now, run the pantry fan for 45 minutes, but only if the printer paper is below half.",지금부터 45분 뒤에 프린터 용지가 절반 아래일 때만 팬트리 선풍기를 45분 동안 돌려.,,execute,,,자동화 만들기
379,OFFICE05,Play a chime on the open space speaker while nobody is around,아무도 없는 동안 사무실 스피커로 알림음 울려.,,execute,,,자동화 만들기
380,OFFICE05,I'd like you to lock the door lock while I am on a call.,회의가 시작되면 현관 도어락 잠가줘.,,execute,,,자동화 만들기
381,OFFICE03,"While someone is in the entrance, get all the lights on",현관에 사람이 있는 동안 모든 조명 켜.,,execute,,,자동화 만들기
382,OFFICE01,I'd like you to switch all the lights on while someone is in the pantry.,팬트리에 사람이 있는 동안 모든 조명 켜줘.,,refuse,감지불가,팬트리에 사람 감지 센서 없음,자동화 만들기
383,OFFICE03,can you push me an alert while the camera is recording?,카메라가 녹화 중인 동안 알림 띄워줄래?,,execute,,,자동화 만들기
384,OFFICE02,please send me a notification when the carbon dioxide in the meeting room goes up.,회의실 이산화탄소가 높아지면 알림 보내주세요.,,execute,,,자동화 만들기
385,OFFICE06,"When the entrance door opens, set a calm tone but only if the temperature is under 18 degrees.",현관문이 열리면 온도가 18도 아래일 때만 차분한 톤으로 맞춰줘.,,execute,,,자동화 만들기
386,OFFICE05,"When I leave, if the temperature is under 18 degrees right now, turn off all the lights",내가 나갈 때 온도가 18도 아래면 모든 조명 꺼.,,execute,,,자동화 만들기
387,OFFICE06,could you lock the entrance door lock while the camera is recording?,카메라가 녹화 중인 동안 현관 도어락 잠가줘.,,execute,,,자동화 만들기
388,OFFICE01,"After I head out, wait 10 minutes and then give me a heads-up.",내가 퇴근한 뒤에 10분 기다렸다가 꼭 알려줘.,,execute,,,자동화 만들기
389,OFFICE02,Tell me about it while nobody is around,아무도 없는 동안 알려줘.,,execute,,,자동화 만들기
390,OFFICE05,can you close the blinds while the camera is recording?,카메라가 녹화 중인 동안 블라인드 전부 닫아줄래?,,execute,,,자동화 만들기
391,OFFICE03,can you make it cozy in here while the temperature stays over 30 degrees?,온도가 30도를 계속 넘고 있으면 여기 아늑하게 해줄래?,,ask,위치애매,"어느 공간인지, 어떻게 할지 애매",자동화 만들기
392,OFFICE05,"If the switch is switched off, if the printer toner is under 20 percent right now, set the lights to orange.",스위치가 꺼질 때 프린터 토너가 20퍼센트 아래면 조명 전부 주황색으로 바꿔.,,execute,,,자동화 만들기
393,OFFICE06,please turn the lights amber once the 30 minute timer runs out.,30분 타이머가 끝나면 조명 전부 주황색으로 좀 켜줘.,,execute,,,자동화 만들기
394,OFFICE02,"Once I am back, brew a cup on the coffee maker, but only if the door is open.",내가 돌아오면 문이 열려 있을 때만 커피머신으로 한 잔 내려.,,refuse,감지불가,문 열림을 감지할 센서 없음,자동화 만들기
395,OFFICE05,please take a snapshot with all the cameras 15 minutes from now.,지금부터 15분 뒤에 모든 카메라로 사진 좀 찍어줘.,,ask,확인필요,촬영이라 확인 필요,자동화 만들기
396,OFFICE02,please kill the row 2 light while I am on a call.,회의가 시작되면 2열 조명 꺼주세요.,,execute,,,자동화 만들기
397,OFFICE02,Shut everything down in here while nobody is around,아무도 없는 동안 여기 다 꺼줘.,,ask,확인필요,"어느 공간인지 애매, 다 끄는 동작이라 확인 필요",자동화 만들기
398,OFFICE04,can you make it less warm after 21 minutes?,21분 뒤에 덜 덥게 해줄래?,,execute,,,자동화 만들기
399,OFFICE06,I'd like you to switch the lights off 5 minutes from now.,지금부터 5분 뒤에 조명 전부 꺼줘.,,execute,,,자동화 만들기
400,OFFICE01,"If my calendar says I am busy, wait 20 minutes and then make it cozy in here.",일정이 잡혀 있으면 20분 기다렸다가 여기 아늑하게 해줘.,,ask,위치애매,"어느 공간인지, 어떻게 할지 애매",자동화 만들기
401,OFFICE06,could you shut the open space lights off once the door has been open for 3 minutes?,문이 3분 동안 열려 있으면 사무실 조명 꺼줄 수 있어?,,execute,,,자동화 만들기
402,OFFICE01,can you turn the pantry coffee maker off while the temperature stays over 30 degrees?,온도가 30도를 계속 넘고 있으면 팬트리 커피머신 꺼줄래?,,execute,,,자동화 만들기
403,OFFICE01,can you set the lights to the meeting scene after 45 minutes?,45분 뒤에 조명 회의 모드로 해줄래?,,execute,,,자동화 만들기
404,OFFICE02,"please put the row 6 light on, but only if it is dark outside.",바깥이 어두울 때만 6열 조명 좀 켜줘.,,execute,,,자동화 만들기
405,OFFICE05,Wait 30 minutes and then bring the open space lights down to 30 percent,30분 기다렸다가 사무실 조명 밝기 30퍼센트로 낮춰.,,execute,,,자동화 만들기
406,OFFICE02,"Keep this place bright while someone is in the office, and turn the lights off when they leave","사무실에 사람이 있으면 밝게 유지해주고, 사람이 나가면 불을 꺼줘.",,execute,,,자동화 만들기
407,OFFICE02,Keep checking and play some music on the TV for as long as the door is open,문이 열려 있는 동안 계속 TV로 음악 좀 틀어.,,refuse,기기없음,TV 없음,자동화 만들기
408,OFFICE02,Keep checking and shut everything down in here for as long as the room is too warm.,사무실이 더운 동안 계속 여기 다 꺼줘.,,ask,확인필요,"어느 공간인지 애매, 다 끄는 동작이라 확인 필요",자동화 만들기
409,OFFICE06,"please send me the entrance temperature, but only if it is dark outside.",바깥이 어두울 때만 현관 온도 알려줘.,,refuse,감지불가,현관에 온도 센서 없음,자동화 만들기
410,OFFICE02,Wait 5 minutes and then I want to know when it changes.,5분 기다렸다가 상태가 바뀌면 알려줘.,,ask,동작애매,무엇의 상태인지 애매,자동화 만들기
411,OFFICE05,"If the printer paper is below half right now, send me the open space temperature",프린터 용지가 절반 아래면 사무실 온도 알려줘.,,execute,,,자동화 만들기
412,OFFICE01,"Every day at 6 am, close all the blinds if the temperature is 30 degrees or above.",매일 오전 6시에 온도가 30도 이상이면 블라인드 전부 내려줘.,,execute,,,자동화 만들기
